objectID,spontaneous,yellowhammers,shrikes,date,time,areasize,cuttingdate,type_lvl1,type_lvl2,grass,spruce,shrubs,birch,raspberry,branches,bare,stones,total,trees,stubs,vegheight,edgeN,edgeE,edgeS,edgeW,edges,distfl10ha,distcc,propfl_250,propcc_250
1009433,0,0,0,14/06/2018,10.45,4070,17/07/2013,forest,clearcut,35,5,5,30,25,0,0,0,100,no,yes,1,forest,forest,forest,forest,1,,116.3967707,,0.049
1019378,0,3,0,21/06/2018,08:17,17073,17/07/2013,forest,clearcut,33,32,5,24,1,3,1,1,100,no,no,2,forest,forest,forest,forest,1,,232.9383639,,0.002
1208249,0,0,1,24/06/2018,09:45,8515,25/07/2014,forest,clearcut,12,20,5,50,2,5,5,1,100,no,no,1.5,clear-cut,clear-cut,clear-cut,clear-cut,0,,8.353199553,,0.097
1452122,0,4,2,21/06/2018,11:07,16940,08/09/2015,forest,clearcut,52,2,25,10,10,0,0,1,100,no,no,1,open,open,clear-cut,open,0,,0,,0.067
1454595,0,0,0,10/07/2018,11:02,6374,11/06/2015,forest,clearcut,10,2,3,65,15,5,0,0,100,no,no,2,open,forest,open,forest,0.5,,229.8834438,,0.005
1470704,0,0,0,25/06/2018,10:40,3129,08/09/2015,forest,clearcut,23,10,10,35,15,2,0,5,100,yes,no,1,forest,forest,forest,forest,1,,151.1635099,,0.051
1496659,0,1,0,20/06/2018,11:57,16169,09/07/2014,forest,clearcut,22,15,15,35,10,1,0,2,100,yes,no,1.2,forest,forest,open,forest,0.75,,40.48039973,,0.066
1497782,0,2,2,21/06/2018,09:34,11059,09/07/2014,forest,clearcut,15,35,2,40,5,0,2,1,100,no,no,2,clear-cut,forest,clear-cut,clear-cut,0.25,,0,,0.106
1501339,0,4,1,27/06/2018,08:50,11587,08/09/2015,forest,clearcut,65,0,3,0,20,7,4,1,100,no,no,,forest,clear-cut,clear-cut,forest,0.5,,0,,0.103
1524607,0,2,1,26/06/2018,09:05,43027,08/09/2015,forest,clearcut,20,5,7,15,8,5,35,5,100,no,no,0.2,forest,forest,clear-cut,clear-cut,0.5,,0,,0.048
1525828,0,0,0,24/06/2018,11:15,41974,08/09/2015,forest,clearcut,50,10,2,5,5,10,15,3,100,no,no,0.5,forest,forest,forest,forest,1,,81.90617222,,0.129
1538444,0,0,2,19/06/2018,10:36,9842,11/06/2015,forest,clearcut,15,2,8,45,25,5,0,0,100,no,no,1.5,open,open,open,forest,0.25,,43.85296581,,0.095
1539378,0,0,3,19/06/2018,09:19,18276,11/06/2015,forest,clearcut,20,3,45,1,20,5,2,4,100,no,no,1.5,clear-cut,open,open,clear-cut,0,,0,,0.226
1574771,0,0,0,25/06/2018,09:15,11751,21/07/2016,forest,clearcut,40,10,5,20,5,4,8,8,100,no,no,1,forest,forest,forest,forest,1,,160.7792934,,0.051
1574805,0,0,1,20/06/2018,10:05,24148,21/07/2016,forest,clearcut,50,9,9,15,0,15,1,1,100,no,no,2,forest,forest,clear-cut,clear-cut,0.5,,0,,0.109
1574941,0,0,0,10/07/2018,12:17,11380,21/07/2016,forest,clearcut,40,0,22,30,2,1,2,3,100,no,no,1.5,forest,forest,clear-cut,clear-cut,0.5,,25.11897396,,0.063
1575284,0,0,0,20/06/2018,09:48,6932,21/07/2016,forest,clearcut,30,5,2,30,30,3,0,0,100,no,no,1,forest,forest,clear-cut,forest,0.75,,188.0227232,,0.021
1575782,0,0,0,10/07/2018,09:06,10425,21/07/2016,forest,clearcut,34,10,16,30,5,3,2,0,100,no,no,1.5,forest,open,open,clear-cut,0.25,,0,,0.065
1590416,0,1,0,18/06/2018,10:20,9161,21/07/2016,forest,clearcut,0,5,9,17,0,9,9,51,100,no,no,0.5,forest,forest,clear-cut,forest,0.75,,12.58286688,,0.075
1592218,0,0,0,06/07/2018,09:15,7549,21/07/2016,forest,clearcut,22,5,3,5,25,20,8,12,100,no,no,0.4,clear-cut,clear-cut,forest,forest,0.5,,0,,0.132
1659419,0,1,0,25/06/2018,11:30,5328,21/07/2016,forest,clearcut,30,8,0,3,4,15,25,15,100,no,no,1.5,forest,open,forest,forest,0.75,,192.2482818,,0.014
1736691,0,2,0,13/06/2018,11:30,48186,27/05/2017,forest,clearcut,49,8,1,15,20,0,5,2,100,no,no,,forest,forest,forest,forest,1,,0,,0.165
1736699,0,0,0,20/06/2018,12:36,14151,27/05/2017,forest,clearcut,40,3,1,10,1,20,5,20,100,no,no,0.5,forest,forest,forest,forest,1,,123.7337061,,0.101
1736705,0,0,0,20/06/2018,12:03,7059,27/05/2017,forest,clearcut,15,10,20,5,2,28,5,15,100,no,no,0.2,clear-cut,forest,forest,forest,0.75,,0,,0.163
1736794,0,0,0,20/06/2018,09:07,17981,27/05/2017,forest,clearcut,0,3,40,1,1,10,25,20,100,no,no,0.4,clear-cut,forest,forest,forest,0.75,,50.04404702,,0.098
1736893,0,0,0,19/06/2018,12:00,18842,27/05/2017,forest,clearcut,45,5,3,30,1,5,8,3,100,no,no,0.5,forest,forest,forest,forest,1,,118.7474458,,0.058
1736915,0,0,0,14/06/2018,11:40,12204,27/05/2017,forest,clearcut,55,2,15,3,5,2,15,3,100,yes,no,,forest,forest,forest,forest,1,,132.3883216,,0.039
1736934,0,1,1,26/05/2018,11:55,5848,27/05/2017,forest,clearcut,40,2,5,3,20,10,15,5,100,no,no,1,clear-cut,forest,forest,forest,0.75,,0,,0.129
1822983,0,0,0,19/06/2018,12:08,20525,27/05/2017,forest,clearcut,50,10,3,5,1,15,10,6,100,no,no,0.2,clear-cut,forest,forest,open,0.5,,0.001237205,,0.131
1824801,0,0,0,10/07/2018,09:47,,,forest,clearcut,36,5,2,50,1,5,1,0,100,no,no,1.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,